parameter,min,max
THT,-0.9535280438469922,1.9915871600166397
CM,0.10408420298647147,4.995653037419344
CMP,0.0027849357680898024,4.997963655905914
FC,105.68266046229886,499.983041701023
Beta,0.24963773830857505,9.886036292532598
PWP,1.1309737617404494,498.93302202838663
L,1.0136618048166053,19.999275207629253
KUU,0.10093804855853808,0.49592258310929993
KUL,0.0036585568049434525,0.4885798014955181
KD,0.00437402749386287,0.4980870241859084
KL,0.0016514090057502817,0.45189900286677337
